VORHABEN_NR,VORHABEN,BEZIRK
A-004,Nienstedten19,Altona
A-021,Altona-Altstadt47,Altona
A-022,Blankenese03,Altona
A-023,Lurup58,Altona
A-024,Nienstedten20,Altona
A-025,Ottensen48,Altona
A-026,Osdorf33,Altona
A-027,Rissen41,Altona
A-028,Rissen43,Altona
A-029,Blankenese35-Sülldorf20,Altona
A-030,Rissen46-Blankenese37-Sülldorf21,Altona
A-031,Blankenese20,Altona
A-032,Altona-Altstadt44,Altona
A-033,Rissen39,Altona
A-034,Lurup56,Altona
A-035,Lurup59,Altona
A-036,Rissen42,Altona
A-037,Sülldorf17-Blankenese32,Altona
A-038,Osdorf41,Altona
A-039,Othmarschen35,Altona
A-040,Rissen45-Sülldorf22,Altona
A-041,Rissen47,Altona
A-042,Sülldorf03,Altona
A-043,Ottensen61,Altona
A-044,Sülldorf04,Altona
A-045,Rissen11,Altona
A-046,Bahrenfeld63-GroßFlottbek17,Altona
A-047,Lurup62-Bahrenfeld67,Altona
A-048,Osdorf47-Iserbrook25-Lurup64,Altona
A-049,Othmarschen40,Altona
B-001,Allermöhe25-Billwerder21-Bergedorf87,Bergedorf
B-002,Kirchwerder18-Ochsenwerder9,Bergedorf
B-005,Curslack12,Bergedorf
B-006,Lohbrügge86,Bergedorf
B-007,Bergedorf81,Bergedorf
B-008,Lohbrügge89,Bergedorf
B-009,Lohbrügge84,Bergedorf
B-010,Allermöhe25-Billwerder21-Bergedorf87,Bergedorf
B-037,Kirchwerder26,Bergedorf
B-040,Kirchwerder19,Bergedorf
B-060,Billwerder26,Bergedorf
B-069,Moorfleet14,Bergedorf
B-070,Moorfleet09-Billwerder22,Bergedorf
B-071,Moorfleet15-Billwerder24-Billbrook7,Bergedorf
B-072,Moorfleet13,Bergedorf
B-073,Lohbrügge87,Bergedorf
B-074,Billwerder23,Bergedorf
B-075,Bergedorf82,Bergedorf
B-078,Curslack15,Bergedorf
B-079,Curslack16,Bergedorf
B-080,Kirchwerder17-Ochsenwerder8,Bergedorf
B-081,Kirchwerder23,Bergedorf
B-082,Bergedorf77,Bergedorf
B-084,Neuengamme12,Bergedorf
B-085,Altengamme10,Bergedorf
B-086,Kirchwerder25,Bergedorf
B-087,Kirchwerder20,Bergedorf
B-088,Kirchwerder21,Bergedorf
B-089,Kirchwerder22,Bergedorf
B-090,Allermöhe28,Bergedorf
B-091,Neuengamme09,Bergedorf
B-092,Altengamme08-Neuengamme10,Bergedorf
B-093,Altengamme09-Neuengamme11,Bergedorf
B-094,Bergedorf94,Bergedorf
B-098,Bergedorf98,Bergedorf
B-100,Moorfleet16,Bergedorf
B-103,Moorfleet17,Bergedorf
B-113,Bergedorf99,Bergedorf
B-116,Bergedorf104,Bergedorf
B-123,Kirchwerder30-Ochsenwerder11,Bergedorf
E-001,Schnelsen08,Eimsbüttel
E-002,Schnelsen33,Eimsbüttel
E-003,Lokstedt46-Hoheluft-West12,Eimsbüttel
E-004,Eidelstedt57,Eimsbüttel
E-005,Niendorf79,Eimsbüttel
E-006,Lokstedt45,Eimsbüttel
E-007,Eidelstedt30,Eimsbüttel
E-008,Schnelsen32,Eimsbüttel
E-009,Schnelsen71,Eimsbüttel
E-014,Schnelsen12,Eimsbüttel
E-015,Lokstedt14,Eimsbüttel
E-016,Eidelstedt63-Schnelsen78,Eimsbüttel
E-017,Lokstedt50,Eimsbüttel
E-018,Schnelsen48,Eimsbüttel
E-019,Niendorf78,Eimsbüttel
E-020,Eidelstedt62,Eimsbüttel
E-021,Stellingen49,Eimsbüttel
E-022,Niendorf81,Eimsbüttel
E-023,Lokstedt12,Eimsbüttel
E-024,Lokstedt30-Eimsbüttel33,Eimsbüttel
E-025,Lokstedt44,Eimsbüttel
E-026,Niendorf80-Schnelsen81,Eimsbüttel
E-027,Niendorf84,Eimsbüttel
E-029,Eidelstedt31,Eimsbüttel
E-030,Eidelstedt12,Eimsbüttel
E-031,Stellingen49,Eimsbüttel
E-032,Niendorf83,Eimsbüttel
E-033,Stellingen51-Lokstedt51,Eimsbüttel
E-034,Stellingen59,Eimsbüttel
E-035,Stellingen19-Lokstedt49,Eimsbüttel
E-036,Harvestehude11,Eimsbüttel
E-037,Rotherbaum27,Eimsbüttel
E-038,Eidelstedt68,Eimsbüttel
E-039,Schnelsen79,Eimsbüttel
E-040,Niendorf89,Eimsbüttel
E-041,Schnelsen49,Eimsbüttel
E-042,Eidelstedt71,Eimsbüttel
E-043,Stellingen64,Eimsbüttel
E-044,Niendorf90,Eimsbüttel
E-045,Schnelsen83,Eimsbüttel
E-046,Schnelsen89,Eimsbüttel
H-001,Wilhelmsburg82,Harburg
H-003,Heimfeld43,Harburg
H-014,Marmstorf30,Harburg
H-016,Neuland20-Harburg58,Harburg
H-017,Wilhelmsburg18,Harburg
H-018,Wilhelmsburg77,Harburg
H-019,Neugraben-Fischbek60,Harburg
H-020,Neugraben-Fischbek59,Harburg
H-021,Wilstorf3,Harburg
